Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"Join an exciting team of actuaries, data scientists and engineers at the forefront of using data to drive decisions at every level of our organization. The insurance industry is undergoing a transformation and you get to be in the driver’s seat of this data-driven, technology revolution.

You will work on impactful projects that range from predicting customer life-time values and optimizing customer journeys to incorporating novel data sources for building cutting-edge pricing algorithms. You will leverage machine-learning algorithms to automate and predict claim outcomes and find new and innovative ways to impact our customers. This team is exploring the frontiers of the insurance business such as how to harness the data from connected homes and cars to deliver new types of products to customers.

As a data-scientist, you will be part of a dynamic small team with exposure to different business partners and direct influence on future products and innovative solutions. You will propose machine-learning and statistical models for practical applications that impacts millions of customers. You will also mentor and guide your peers in novel approaches and provide peer review for their work. The team has already developed algorithms used in production systems and you will be part of the team that expands the scope of these algorithms. This is your chance to join the InsureTech revolution!

The insurance industry has entered a period of unprecedented change, disruption and rapid technological development. Aviva recognizes that in this rapidly changing environment building a distinctive capability in Data Science is critical - demonstrating this commitment through the development of our Data Science Practice. If you are passionate about Data Science and leveraging your analytical prowess to tackle business challenges, this role could be for you. We are embracing new technology and exploring new ways of working. With our constant advancement, you will be at the forefront of a fast-evolving field. These exciting roles are at the heart of a high-performing Data Science team that is transforming Aviva in the Digital age. Here, we are creating a long-lasting legacy and optimizing every customer’s experience.

What you need to succeed

As a data-scientist, you will need the following skills and experience to succeed in the role:
An educational background in computer-science or engineering, math, statistics, physics or related field. A minimum of MSc is required and Phd preferred.
5+ years of experience with model development and working with large datasets. This can include experience from any industry or academia (post-doc experience).
5+ programming experience in Python or R with good grasp of software engineering standard methodologies such as code-reusability, modularity, use of repos, etc.
Python/R /Dataiku
REST/XML/JSON/API ingestion
Spark/Impala/Hive
Expertise in machine learning theory and predictive modelling lifecycle
API configuration
Conformance/Alignment to IT/Enterprise Architecture standards (where applicable)
Relevant experience in P&C (preferred)
Shiny App development

Geo-analytics experience (ESRI/KML/KMZ layer development) with specialization in weather & environmental data ingestion
What sets you apart
A growth mindset with versatile skills and able to work through problems from first-principles.
A portfolio of projects that demonstrate your ability to draw inferences from data. This includes participation within the broader data science community including Kaggle competitions or any personal projects with open data.
A can-do teammate who is willing to roll-up the sleeves and do whatever is needed to move projects forward. That means at times you will wear different hats and be a project manager, developer, modeler and chief communicator of solutions.
Amazing people skills and able to translate and communicate complex algorithms to non-technical individuals. Someone who understands that it is not enough to just have a phenomenal algorithm but meaningful to build an agreement for the solution from different partners.
The best problems in the industry are yet to be articulated. We need someone who is creative, self-motivated and can lead projects independently.
Position Objectives
Provide data support to Claims business inclusive of data mining, automated reporting and modelling.
Transformation of complex data sets into meaningful conclusions & recommendations
Develop innovative solutions for pattern recognition using machine learning and statistical approaches
Maintenance of expanding set of data mining tools, frameworks & approaches
Communicate actionable recommendations based on insights/model results
Deliver proactive analysis on CAT exposure, historical performance and decision making using weather and geo-analytical approaches (CAT Analytics role)
Driving co-ordination/delivery accountability of project and BAU delivery based on timelines & direction (Sr Data Scientist)
Driving conformance/Alignment to IT/Enterprise Architecture standards (where applicable) (Sr Data Scientist)
About you

Highly numerate, you will be educated to post graduate (MSc) in a relevant discipline; Mathematics, Statistics, Computer Science. You will bring solid experience in a related role with a record of accomplishment of solving complex non-routine problems; along with expertise in some, if not all, of the following areas: Statistics, Machine Learning, Deep Learning & AI. You will have experience at all stages of data science; problem definition, data acquisition & wrangling, modelling, feature engineering and deployment. Big Data experience (e.g. Hadoop) would be ideal, but not essential. What is equally important is programming knowledge and a gift for coding using: R, Python or Spark. Your knowledge must also come with the ability to explain technical concepts to non-specialists. You will also need the drive to deliver projects –leading teams and coaching development. With these talents, you will be equipped to provide insights and deployments at scale. If you thrive on complex, non-routine problems, you will be right at home here.",3.5,"Aviva
3.5",Markham,"London, United Kingdom",10000+ employees,1861,Company - Public,Insurance Operators,Insurance,$10+ billion (CAD),Legal & General
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"At Ingrooves Music Group, we are committed to powering creativity in today’s dynamic music marketplace by providing the best distribution, marketing, and rights management tools and services to content creators and owners. We develop state-of-the-art, cost-efficient, and scalable technology platforms. Our partners benefit from our experienced, knowledgeable people, unparalleled commitment to customer service, and thoughtful marketing solutions that drive results. We aspire to be the most transparent and solution-driven partner for all of the labels and artists we work with.

How we LEAD:

This is an execution and delivery-oriented, highly visible role in the Insights & Analytics team with primary responsibility for building, testing, and validating scalable machine learning models that drive business-relevant insight generation. This includes development of project plans, handling of potential issues and risks, collaborating constructively with project team members, providing effective cross-functional communication, and advancing multiple projects at once.

The successful candidate will ideally be based in Victoria, BC and their reporting line will be to the Chief Analytics Officer. Although the Insights and Analytics team is primarily based in Victoria, BC, exceptionally strong candidates who wish to work remotely within British Columbia or out of the Ingrooves Los Angeles office are especially encouraged to apply and will be given equal consideration.

Success at Ingrooves

Business Acumen

The successful candidate aligns with the Ingrooves culture by being solution-oriented, collaborative, leveraging best practices, and possessing a passion for both technology and music.

Interpersonal/Communication Skills

The successful candidate will be open minded with a natural curiosity of the internal and external customer, will be delivery oriented with an understanding of the product development process and will build and foster strong relationships and effective partnerships with cross-functional teams.

Executing for Results

The successful candidate will demonstrate the ability to generate and translate strategic plans into actions with timely execution and accountability.

Leadership/Collaboration

The successful candidate establishes and maintains positive working relationships, operates with integrity, influences and supports others, and remains open to ideas.

Problem Solving

The successful candidate will be tenacious and self-motivated and have a demonstrable record of resolving issues and providing effective solutions. They demonstrate eagerness and an ability to learn quickly and leverage a flexible mindset in response to shifting dynamics, adversity and/or change.

How you’ll CREATE:
Design, build, and deploy machine learning models at scale
Collaborate closely with product teams to provide high-level AI-driven services for music content owners
Integrate with external and internal APIs and data sources to augment music consumption data to uncover shifting market trends, new opportunities, operational efficiencies and revenue streams
Create data-rich informative visuals and documents to articulate and convey complex concepts to executive leadership team and label partners
Contribute to and enable a positive work environment which highly encourages creative input and constructive criticism from all team members
Other duties as determined by the Chief Analytics Officer
Bring your VIBE:
Earned graduate degree (PhD/MS) in a highly quantitative discipline (e.g., machine learning, statistics, computer science, applied mathematics, theoretical physics, physical chemistry, econometrics)
2+ years of corporate experience (at the PhD level) / 4+ years of corporate experience (at the MS level) working in a data scientist or equivalent role
Demonstrated experience developing machine learning models (e.g. distributed model training with SparkML, PyTorch, Tensorflow, etc.) to deliver robust predictions and inferences in a production scale environment
Strong software development skills, with demonstrated ability to implement inferential and predictive models in a production environment.
Expert knowledge of at least one data science programming language (e.g. Python, R, Julia, etc.) and relevant data science and visualization libraries (scikit-learn, pandas, ggplot, etc.)
Experience with AWS (i.e., EC2, S3, RDS, Redshift, EMR) or similar cloud computing services
Knowledge and experience of writing and tuning SQL
Excellent communication and exposition skills with the ability to explain and present complex analyses and machine learning concepts to a broad audience, both technical and non-technical, in English
Demonstrated ability to work creatively and deliver within highly collaborative work environments while remaining product focused.",3.5,"Ingrooves
3.5",Victoria,"Los Angeles, CA",51 to 200 employees,2002,Company - Private,Music Production & Distribution,Media,$100 to $500 million (CAD),-1
Data Scientist 2,CA$48K-CA$80K (Glassdoor Est.),"Our Telco client in Toronto is in need of a Data Scientist for an initial 6 month contract.

You will work as part of a friendly, cross-disciplinary, and agile team who helps each other tackle problems across all functions.
As a custodian of customer trust, you will employ the best methodologies in development, security, accessibility and design to achieve the highest quality of service for our customers.
Heres how:
Understand business needs and apply data science/machine learning techniques to address real-world problems
Analyze source data (including structured and unstructured data), cleanse data, and support the building of data pipelines
Build models and enable solutions using techniques such as regression, classification, clustering, natural language processing, deep learning, and/or statistical modeling
Help validate, maintain, optimize, and troubleshoot the performance of machine learning models being used in development and production applications
Ensure data privacy is respected
Use visualization techniques to communicate findings and explain models
You're the missing piece of the puzzle
Education in computer science, engineering, mathematics, or a related field
Expertise developing machine learning models in Python and using open source ML libraries such as Scikit-learn, PySpark, Tensorflow, SpaCy, and PyTorch
Ability to communicate technical and complex concepts in a way that is understood by non-technical audiences
Relevant work or research experience delivering substantial data science projects including publications, contributing to packages, deploying applications, building tools and frameworks
Interpersonal and communication skills to enable collaboration with a range of team members with diverse skill sets and backgrounds
The ability to quickly familiarize yourself with new languages, tools, frameworks, and to stay informed on developments in ML techniques and technologies
Dedication to ensuring your work is well documented and version controlled
Experience using Cloud infrastructure like Google Cloud Platform, Amazon Web Services or Microsoft Azure
Experience with agile methodology and team-based software development workflows
Must to have skills:
Candidate needs one of the following:
~5 Years of industry experience as a Data Scientist or similar work
A Masters Degree in Computer Science, Engineering, or Mathematics or a related field with 1-2 years experience as a Data Scientist or similar work
A PHD in the above academics with course work in Machine Learning and applied knowledge during schooling
Experience in Machine Learning libraries such as Python, Scikit-learn, PySpark, Tensorflow, and PyTorch
Proven demonstrated experience applying Machine Learning practices to Real World scenarios (ie building applications)
Nice to have skills:
Great Communication Skills
Boot camp experience (Machine Learning or Data Science)
A development background that theyve transitioned to a Data Scientist role (eg Python development)
Project details: Working on the Data/Analytics team (Machine Learning)

Additional comments: Looking for a candidate with either the industry experience or the educational experience listed above. Not looking for someone who has 10 years of legacy DBA experience who recently transitioned over to a Data Scientist role.
Machine Learning and development/coding experience is very important for this role, will look at a former Python Developer who has bootcamp experience and transitioned over to a Data Scientist role",3.7,"emergiTEL Inc.
3.7",Toronto,"Richmond Hill, Canada",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (CAD),"Veritaaq, TEKsystems, Procom"
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"Replicon is looking to hire someone for our Time Intelligence platform who is passionate about taking data and transforming it into information and insights that can help our customers make the right decisions. Our SaaS application is used by thousands of customers, collecting data for millions of users, and we model business capabilities across many different industries.

Objectives
Work within our product engineering team to enhance our data analytics platform by identifying solutions to business problems using data analytics
Gain an understanding of our product and business domain to be able to drive our data model to be able to provide more analytical insights
Design and build our platform for solving time intelligence problems which needs to allow our customers to find meaningful insights in their uniquely modeled business
Evolve data analytics from a static model to a learning model, and not just analyzing a provided set of data
Keep current with industry trends
Responsibilities
Work with product managers to understand business objectives and to deliver results based on that context
Think about our data strategically, identifying new datasets for our product and work with the engineering team to integrate those datasets to create new data products
Execute analytical experiments and interpret the results to provide guidance on how to use or enhance our data platform
Identify relevant datasets to use for analytical experiments
Implement analytical models into production by taking product requirements and collaborating with software developers and machine learning engineers.
Own and continuously improve launched analytical models.
Evangelize analytics best practices and provide technical guidance and options to the team
Managing work on multiple concurrent analytics projects
Iterate and improve your work until the business objective is met, even if there are very challenging technical constraints to overcome
Openness to using many different tools and approaches as necessary - the right tool for the job
Take ownership and pride in everything you do and stand by what you deliver
Skills and Qualifications
Bachelors degree in statistics, applied mathematics, or related discipline
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Programming experience (Python, R, etc.)
Preferred Qualifications
2+ years experience in data science
Professional certifications
Experience with visualization tools such as PowerBI and Tableau
Experience with NLP/NLU technologies (Amazon Lex, Google DialogFlow, etc)
Experience with AI/ML technologies (Tensorflow, Amazon Sagemaker, etc)
Experience with SQL
Experience working in an Agile environment
A portfolio of relevant work to share",4.2,"Replicon
4.2",Calgary,"Calgary, Canada",201 to 500 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (CAD),"Kronos Incorporated, TSheets, Workday"
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"We’re revolutionizing the way humanity eats, and there’s a lot of room for optimization and growth. That’s where you come in. Your ingenuity will help us continue to drive innovation, making an impact on the reliability, performance, and scalability of Skip’s industry-leading technology.

Key Responsibilities
Delivering high-quality data science models as part of a team working on a variety of forecasting, optimization, logistical and routing challenges as a part of an established team of data scientists with experience in these areas.
Work closely with team members across all business units to build and evaluate suitable algorithms to allow us to scale our business.
Interfacing with other Tech teams working to production deadlines.
Taking on board feedback from other data scientists, gathering reviews of your code and models and ensuring they can be effectively deployed by our Tech team.
Use data to visualize and explain hypotheses and models.
Qualifications & Experience
MS degree / Ph.D. degree in a quantitative discipline (eg. CS, CEng, Stats, Physics).
Demonstrable relevant working experience.
Applied experience with machine learning, data science and solving problems at scale.
Ability to communicate business outcomes and recommendations from analysis verbally and written, ability to present results coherently.
Ability to develop confidently in Python, with the capability to read and understand other languages with complicated codebases.
Confident extracting and manipulating data from our various SQL and NoSQL data stores and storage frameworks.
Practical experience with Logistics algorithms, routing algorithms, optimizations, time series analysis or forecasting time-series.
Experience working on projects that employed assignment algorithms, routing algorithms or time series forecasting.
Deep understanding of best practices for Data Conditioning, Model Selection and Testing.
Experience from similar markets to the food-delivery market.
Experience working in agile teams, with code reviews and source control.
Comfortable with big data stores (Google BigQuery, Amazon Datastores) and tools (including dynamoDB, elasticsearch, S3, SQS, Kinesis) or Spark / Storm / Hadoop / Kafka or Neo4
Why work at Skip?

Picture this: you, dressed in your fave casual attire, amongst a team of friendly and passionate colleagues. You feel pride knowing your input and uniqueness is not only embraced, but makes an impact on a major Canadian company, and its satisfied customers. As the company grows, so do you—you meet and surpass new challenges every day.

This is just a taste of what it’s like to work at one of Canada’s leading tech companies. If you’re hungry for opportunity, growth, and something meaningful in a dynamic yet casual environment, we’d love to hear from you.

Note: All employees will be asked to sign a Consent for Disclosure of Personal Information in order to complete a background check. Job offers will be conditional upon results that the Company determines to be satisfactory.",3.3,"SkipTheDishes
3.3",Winnipeg,"Winnipeg, Canada",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"At Veeva, we build enterprise cloud technology that powers the biggest names in the pharmaceutical, biotech, consumer goods, chemical & cosmetics industries. Our customers make vaccines, life-saving medicines, and life-enhancing products that make a difference in everyday lives. Our technology has transformed these industries; enabling them to get critical products and services to market faster. Our core values, Do the Right Thing, Customer Success, Employee Success, and Speed, guide us as we make our customers more efficient and effective in everything they do.

The Role

As a Data Scientist for the Andi team, you will work with Andi Product Management, Engineering, and fellow Data Scientists to support product development.

Andi is a solution to coordinate data across life science field teams and through different channels to support intelligent customer engagement. Andi’s Next Best Action capabilities will enable reps to make decisions in the field through the generation of suggestions and insights based on dynamic programming engines and AI.

Your role will be to generate and own the mathematical and behavioral models that will help drive the generation of impactful insights and suggestions. You will assist Engineering in “productizing” the code to ensure it can be scalable and repeatable. Our ideal candidate is multi-talented, with the capabilities to develop statistical, machine learning and optimization models to create scalable solutions that can be embedded within Andi.

This is a great opportunity for someone who is excited about using their deep Data Science expertise to help shape the product development from the early stages of Andi and can envision how Andi will enable reps to make smarter decisions in the field.
What You’ll Do
Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner
Design, develop and assess highly innovative models for adaptive predictive learning, suggestion ranking, anomaly detection, and more
Collaborate with Engineering to help implement machine learning algorithms and “productize"" data science capabilities
Build and run analysis of models and algorithms in order to assess performance and identify the best algorithms to integrate into Andi
Ensure models and algorithms support our customers and help them drive towards more intelligent and effective engagement with their customers
Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends and figures
Work closely with the data warehouse product team to ensure architecture is effectively developed to support algorithms embedded in Andi
Requirements
M.S. or Ph.D. in Machine Learning, Applied Statistics, Mathematics, Computer Science, or other quantitative disciplines. Ph.D. with at least 2 years of relevant industry experience, M.S. with 3 years of relevant industry experience.
Advanced in-depth specialization and experience in data analysis techniques such as: classification, pattern recognition, clustering, feature analysis, deep learning (NLP), fuzzy matching, sentiment analysis, A/B testing, active/adaptive learning
Expertise in using R or Python to manipulate large data sets and develop statistical models, with the ability to accurately determine cause and effect relationships
Good SQL skills
Intellectual curiosity, along with excellent problem-solving and quantitative skills, including the ability to disaggregate issues, identify root causes and recommend solutions, even in situations with non-standard problems
Excellent oral and written communication skills with the ability to effectively explain complex problems and advocate technical solutions to Engineering
Nice to Have
Experience with commercial aspects of the Life Sciences industry
Experience with Veeva CRM data sets or other commercial Life Sciences data
Experience working in an agile software development environment
Experience working with Software as a Service and/or enterprise products
Experience with AWS
Hands on experience building models with deep learning frameworks (Tensorflow or similar)
Perks & Benefits

· Conveniently located in downtown Toronto
· Snacks, beverages, and weekly lunches from local restaurants
· Team events and rec league sports teams
· Allocations for continuous learning & development
· Health & wellness programs
· Weekly yoga classes
· Ping pong and other games

Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world.

Veeva Systems is an equal opportunity employer. Accordingly, we are committed to fair and accessible employment practices. Veeva Systems welcomes and encourages applications from people with disabilities. Accommodations are available upon request for candidates taking part in all aspects of the selection process.",3.5,"Veeva Systems
3.5",Toronto,"Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (CAD),-1
Data Engineer Trainee,CA$48K-CA$80K (Glassdoor Est.),"Jarvis Consulting Group identifies high potential individuals and develops them into professional technology consultants working with the hottest technologies in some of Canadas top companies.
The Opportunity
Were looking for individuals with the right attitude and aptitude to become Data Engineers and work with some of Canadas top companies to unlock the value of their data. If you want to become a data engineer working with top companies on high profile projects Jarvis just might be what you're looking for.

Youll be involved in projects of high strategic importance to design, build and integrate data pipelines that provide a consistent flow of high quality data. Also, youll have the opportunity to explore the use of new and emerging data related technologies and pioneer new patterns and practices.
What we offer
Comprehensive training on core Big Data technologies provided by industry experts:
Cloud
DevOps
Java
Hadoop/Spark
Access to the most exciting and innovative projects within some of Canadas top companies
Dedicated support to help you develop your career through coaching, professional networking opportunities and attaining industry recognized certifications
The opportunity to dramatically improve your skills by writing a lot of code
Who we're looking for
Curious - Youre interested in experimenting, learning, innovating and trying new things
Customer Focused You strive to create value for your customers and always deliver with quality
Adaptable - You maintain a focus on results even as plans and priorities change and consistently deliver value
Humble - You recognize your strengths as well as your opportunities and are always willing to learn from others
Collaborative - You value the success of the group and freely share your knowledge, experience and insight
What were looking for
Experience and education
Diploma or degree in computer science, technology, engineering or a mathematical discipline
Aptitude for logical reasoning and quantitative problem solving
Good oral and written communication skills
Good collaboration and teamwork skills
Willing and able to commit to working with Jarvis for at least two years following a training period
Legally permitted to work in Canada (citizen/permanent resident/work permit)
Core Technical Skills
Familiar with one or more programming languages (C++, Java, Python, Scala, etc)
Have completed at least one course related to designing algorithms and data structures
Why you should work with us
The ability to have your potential recognized and rewarded
Practical and relevant training utilizing the newest technologies
Support to help you establish your career and achieve your goals
The opportunity to work on innovative projects within a variety of Canadas top companies
A competitive compensation package with support for continuous learning",4.5,"Jarvis Consulting Group
4.5",Toronto,"Toronto, Canada",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Research Scientist,CA$48K-CA$80K (Glassdoor Est.),"Our culture
is one that believes in Powering Your
Potential. We provide global opportunities to develop your career, make
your community a better place and work with today’s most innovative thinkers to
solve the world’s toughest problems. We believe in flexibility for you to
explore your passions and make an impact through meaningful work within our
diverse workforce.

Our New Power
Business Unit delivers reliable, durable, high performing products to our
global partners. Working in an innovative space, you’ll develop high tech
solutions that will fuel your advanced career skill set and empower you to own
your career. Our integrated businesses demand the talents and creativity of
individuals with a wide range of skills and experience.

This is an
exciting opportunity in Mississauga, Ontario for a Research Scientist.

This applied science position applies chemical principles that create
and develop product functionalities which are integrated and sold into Cummins’
products. The position involves the research, design, analysis, testing and
failure analysis of chemical based products, including catalysts, substrates,
sensors, batteries, and fuel cells.

Your impact
will happen in these and other ways:
Participates in the design, improvement,
outsourcing, selection, evaluation and testing of PEM fuel cell and PEM Electroyzer
stack and their subcomponents.
Plans and monitors performance test and durability
test of PEM fuel cell and PEM Electrolyzer stack.
Processes and reviews test data, generate test
reports, and presents test result internally and externally.
Collaboration with suppliers of stack
subcomponents, including MEA, GDM, BPP, gasket, and hardware.
Provides technical support to sub-system and system
testing
Conducting literature and patent research for the
latest technology development and breakthrough.
Performs routine diagnostics and maintenance on the
test components and equipment.
Provides independent leadership of smaller business
impact projects or ownership of complex components, products, systems or
services with greater elements of ambiguity over the senior or lead engineer
level and with full accountability to the project team.
Delivers independent execution of established and
emerging work processes and systems, while still developing technology or
product knowledge.
Leads the development and improvement of work
processes and systems across a functional discipline area within a business
unit.
Coordinates and directs work amongst technicians
and temporary student employees, assists in the transfer of knowledge to lesser
experienced engineers through either indirect (scope of influence) or direct
management of a small, local group of engineers.
Provides support and guidance to influence
technical direction within a project team and continues to develop proficiency
in the competency areas critical to success in the role (see “competencies”
below).
Operates as a recognized specialist in a discipline
or product area within the immediate team.
Skills and Experience Required:

Chemical or Electrochemical
Performance Testing - Designs tests measuring chemical transformation of species,
selectivity, electric yield, response to chemical and physical environments in
order to determine performance, durability, or state of health of chemically or
electrochemically active components; examines and interprets test data using
analysis methods to draw conclusions that influence hardware and controls
design decisions and to provide information for computational tools
development.

Characterization of Chemical Systems - Designs and conducts tests of
physicochemical properties, for example morphology, acid-base and redox
properties, diffusion characteristics, impedance behaviors, solubility, and
chemical poisoning, in order to aid in diagnostics and prediction of
performance and health of chemically active components.

Accelerated Aging Testing and Analysis - Designs and constructs laboratory
equipment to simulate various aging exposures relevant to practical
applications of active chemical components, including thermal cycling, chemical
poisoning, and physical masking.

Simulation of Chemical Systems - Determines chemical or electrochemical
performance of chemically active components and systems via numerical modeling;
estimates conversion, selectivity, electrical yield, resistance, and state of
health via numerical computations to evaluate and guide hardware and controls
design decisions.

System Capability Engineering - Identifies system capability and risks through
analysis or experimental testing of the system, sub-system, or super system in
the context of its environment; negotiates and verifies requirements against
capability to guide project scope and system development accordingly; assesses
legacy system versus proposed new system solution capabilities and makes
decisions as to how best to achieve system capability with consideration of stakeholder
trade-offs.

Product Problem Solving - Solves product problems using a process that protects
the customer; determines the assignable cause; implements robust, data-based
solutions; and identifies the systemic root causes and recommended actions
to prevent problem reoccurrence.

Decision quality - Making good and timely decisions that keep the organization
moving forward.

Drives results - Consistently achieving results, even under tough
circumstances.

Communicates effectively - Developing and delivering multi-mode communications
that convey a clear understanding of the unique needs of different audiences.

Builds networks - Effectively building formal and informal relationship
networks inside and outside the organization.

Resourcefulness - Securing and deploying resources effectively and efficiently.

Manages complexity - Making sense of complex, high quantity, and sometimes
contradictory information to effectively solve problems.

Experience
Minimum
three to five years in a related field.
Experience
with PEM fuel cell or PEM Electrolyzer.
Previous
work experience as an electrochemical engineer.
Required Education, Licenses or Certifications

Bachelor of Science (or equivalent degree) in Engineering
required. Graduate degree preferred.

Compensation and Benefits

Base salary
rate commensurate with experience. Additional benefits vary between locations
and include options such as our Retirement Savings Plan, Pension Plan,
Medical/Dental/Life Insurance, Health Savings Account, and a full complement of
personal and professional benefits.

At
Cummins, we are committed to the principles of diversity and employment equity
under the Employment Equity Act, and we strive to ensure that our workforce
reflects the diverse nature of Canadian society.

Our
policy is to provide equal employment opportunities to all qualified persons
without regard to race, gender, color, disability, national origin, age,
religion, union affiliation, sexual orientation, veteran status, citizenship,
gender identity and/or expression, or other status protected by law.

The
successful candidate will be subject to our Pre-Employment Background Screening
process that consists of a Criminal Background Check as well as Education and
Work Experience Verification.

Ready to think beyond your desk? Apply for this
opportunity to start your career with Cummins today. careers.cummins.com

Not ready to apply but want to learn more? Join our
Talent Community to get the inside track on great jobs and confidentially
connect to our recruiting team: http://connect.find.ly/cummins",3.8,"Cummins
3.8",Mississauga,"Columbus, IN",10000+ employees,1919,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (CAD),Caterpillar
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"RESPONSIBILITIES:
Develop state-of-the-art computer vision algorithms for object detection, classification, and face recognition.
Prototype hardware and software solutions for object detection, classification, and face recognition.
Develop and implement scalable and efficient modeling algorithms that can work with large-scale data in production systems.
Collaborate with product management and engineering groups to develop new products and features.

SKILLS AND QUALIFICATIONS:
PhD or MS degree in Computer Science, Electrical Engineering, Statistics, Applied Math, or other related fields.
Expertise in deep learning, deep neural networks, convolutional neural networks, Artificial Intelligence and/or related techniques.
Proficient in one or more programming languages such as Python and Java.
Familiarity with one or more neural network frameworks such as TensorFlow, Caffe or MXNet.
Strong analytical and quantitative problem solving ability.
Excellent communication, relationship skills and a strong team player.
Preferred Qualifications
Experience with big data techniques (Hadoop, MapReduce, Spark).
Experience with relational (SQL) and NoSQl Databases.

compensation:
TBD

How to apply:
Please send your resume to hr@awakedata.com",-1.0,Awakedata,Canada,"Burnaby, Canada",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,CA$48K-CA$80K (Glassdoor Est.),"Health insurance is critical to guaranteeing people's ability to pay for care and be financially protected when sudden, unexpected illness strikes.

We're tackling some of the industry's toughest problems by employing AI-powered predictive analytics on the messiest data. Together, we can make health insurance more effective, reliable and affordable.
This is how we will achieve cost effective care that works for everyone.

Backed by both Canadian and Silicon Valley based venture capital, the Canadian government, and a team of high-profile entrepreneurs, we are proud to be based in Toronto, Canada at the center and birthplace of deep learning.

Top Reasons to Join Knowtions:

Healthcare is the most impactful field in AI. Your work will make sure people can pay for healthcare when they need it most. This is an extraordinary opportunity to transform healthcare from within the behemoth.
We are solving some of the most complicated problems in our industry. Join us if you want to push the frontier of what AI can do and how AI can transform an entire industry.
We have unparalleled size of proprietary datasets. It's the critical raw ingredient to optimizing healthcare and your playground.
We build and deliver, then explore to build more. Work and grow with a diverse team that brings out the collective genius in each other



Who we’re looking for

You are an individual with outstanding analytical abilities, firm understanding of machine learning and creativity to take new approaches in the way they solve problems. Our new ML Data Scientist will focus on maximizing the usability of large healthcare datasets presented in different languages, formats and recorded variables to train machine learning models.

This is an opportunity to use advanced quantitative and statistical analysis techniques to solve some of the most complex challenges facing the machine learning adoption in the global healthcare sector.

Your Role

Develop data collection plans and ensure integrity of data collected through all stages of acquisition and processing (e.g. ground truth generation, normalization, and transformation).
Quantitatively test hypotheses about data used to create models that increase the performance of predictive models.
Combine expert knowledge of statistical methodology and analysis with advanced programming skills to perform exploratory data analysis to uncover patterns in user’s health and activities.



Qualifications

Graduate degree (MS or equivalent) or higher in a quantitative field such as Mathematics, Statistics, Biostatistics, Computational biology or Medical Sciences.
Experience with SQL and NoSQL databases.
Programming experience in Python and/or Java/Scala; knowledge of standard data analysis tools for these languages (for example Pandas in Python); experience with other analytics software (R, SAS, STATA, MATLAB, Mathematica) is a plus.
Experience with Spark is a plus.
Creative in finding new solutions as well as designing innovative methods, systems, and processes.
Broad understanding of health data is an asset.
Ability to conduct independent research.
Good interpersonal and communication skills",-1.0,Knowtions Research,Toronto,"Toronto, Canada",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
